Instituto Nacional de Estadística y Geografía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Índice Nacional de Precios al Consumidor, ciudades que lo componen por mayor variación ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Título," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, 7. Area Metropolitana de la Cd. de México, Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Acapulco, Gro., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Aguascalientes, Ags., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Atlacomulco, Méx., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Campeche, Camp., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Cancún, Q. Roo., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Cd. Acuña, Coah., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Cd. Jiménez, Chih., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Cd. Juárez, Chih., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Chetumal, Q.R., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Chihuahua, Chih., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Coatzacoalcos, Ver., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Colima, Col., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Córdoba, Ver., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Cortazar, Gto., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Cuernavaca, Mor., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Culiacán, Sin., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Durango, Dgo., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Esperanza, Son., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Fresnillo, Zac., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Guadalajara, Jal., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Hermosillo, Son., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Huatabampo, Son., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Iguala, Gro., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Izúcar de Matamoros, Pue., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Jacona, Mich., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, La Paz, B.C.S., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, León, Gto., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Matamoros, Tamps., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Mérida, Yuc., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Mexicali, B.C., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Monclova, Coah., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Monterrey, N.L., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Morelia, Mich., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Oaxaca, Oax., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Pachuca, Hgo., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Puebla, Pue., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Querétaro, Qro., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Saltillo, Coah., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, San Andrés Tuxtla, Ver., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, San Luis Potosí, S.L.P., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tampico, Tamps., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tapachula, Chis., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tehuantepec, Oax., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tepatitlán, Jal., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tepic, Nay., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tijuana, B.C., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tlaxcala, Tlax., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Toluca, Edo. de Méx., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Torreón, Coah., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tulancingo, Hgo., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Tuxtla Gutiérrez, Chis., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Veracruz,Ver., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Villahermosa, Tab., Índice de precios al consumidor, por objeto del gasto, Índice general"," Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Por ciudad, Zacatecas, Zac., Índice de precios al consumidor, por objeto del gasto, Índice general"
Periodo disponible,Ene 1970-Abr 2026,Ene 1970-Abr 2026,Ene 1979-Abr 2026,Ene 1982-Abr 2026,Jul 2018-Abr 2026,Ene 1995-Abr 2026,Jul 2018-Abr 2026,Ene 1995-Abr 2026,Ene 1982-Abr 2026,Ene 1970-Abr 2026,Ene 1982-Abr 2026,Ene 1982-Abr 2026,Jul 2018-Abr 2026,Ene 1982-Abr 2026,Ene 1982-Abr 2026,Ene 1982-Abr 2026,Ene 1995-Abr 2026,Ene 1979-Abr 2026,Ene 1995-Abr 2026,Jul 2018-Abr 2026,Ene 1982-Abr 2026,Ene 1970-Abr 2026,Ene 1982-Abr 2026,Ene 1982-Abr 2026,Ene 1982-Abr 2026,Jul 2018-Abr 2026,Ene 1982-Abr 2026,Ene 1982-Abr 2026,Ene 1979-Abr 2026,Ene 1982-Abr 2026,Ene 1970-Abr 2026,Ene 1970-Abr 2026,Ene 1982-Abr 2026,Ene 1970-Abr 2026,Ene 1970-Abr 2026,Ene 1995-Abr 2026,Jul 2018-Abr 2026,Ene 1979-Abr 2026,Ene 1995-Abr 2026,Jul 2018-Abr 2026,Ene 1995-Abr 2026,Ene 1979-Abr 2026,Ene 1982-Abr 2026,Ene 1979-Abr 2026,Ene 1995-Abr 2026,Ene 1995-Abr 2026,Ene 1995-Abr 2026,Ene 1982-Abr 2026,Ene 1995-Abr 2026,Ene 1979-Abr 2026,Ene 1979-Abr 2026,Ene 1982-Abr 2026,Jul 2018-Abr 2026,Ene 1979-Abr 2026,Ene 1982-Abr 2026,Jul 2018-Abr 2026
Periodicidad,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual,Mensual
Cifra,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices
Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad,Sin Unidad
Base,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100,Índice base segunda quincena de julio 2018 = 100
Aviso,"Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  ","Las desagregaciones del INPC solo tienen valor informativo.Las desagregaciones del INPC solo tienen valor informativo.
  "
Tipo de información,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices,Índices
ene-04,55.77431735,54.21803755,56.70806045,56.63491832,N/E,54.00562917,N/E,60.7244828,57.70249307,61.67433568,58.08819963,56.1305919,N/E,56.63253773,53.14981013,53.3740676,59.44873932,58.60004806,53.01925741,N/E,56.12967457,56.92892091,61.39667779,60.8640737,54.60768205,N/E,50.9679696,59.4787887,55.22326685,57.40706555,54.81732195,62.63030616,59.32833176,60.10140868,57.53175965,55.9160401,N/E,52.97320063,51.76337173,N/E,54.11022264,55.46247277,59.38310312,53.87555177,55.95260655,49.6929899,53.91184906,56.32710675,53.57555088,55.32703488,55.88547613,49.89222801,N/E,53.27638304,55.1476871,N/E
feb-04,56.10794476,54.62277798,56.91180262,57.03322702,N/E,54.27617335,N/E,60.97340075,57.84835923,62.10205505,58.28324187,56.52039489,N/E,56.9845093,53.39561409,53.57362232,59.77888106,58.77551461,53.04604459,N/E,56.34797359,57.25987197,61.70888004,60.83352079,55.07619558,N/E,51.30086538,59.71198062,55.47417263,57.92279498,54.88767049,63.09503732,59.69874168,60.32967712,57.66130326,56.08091922,N/E,53.31262949,51.96152669,N/E,54.12465335,55.70215502,59.44817044,53.38878584,56.11213077,49.95593557,54.31175501,56.82040645,54.07650654,55.695439,56.34605933,50.1728429,N/E,53.69069589,55.53606527,N/E
mar-04,56.29807094,54.76628146,57.33357537,56.95601477,N/E,54.61585661,N/E,61.15390938,57.92021182,62.54842158,58.48956754,56.61070876,N/E,57.11363496,53.60004023,53.66354825,59.98349152,59.09860421,53.45430096,N/E,56.48316117,57.3516842,61.88657835,61.1867553,55.38698656,N/E,51.74281322,59.68338161,55.60875411,58.220004,55.07169822,63.69929901,59.86000485,60.48723801,57.80950543,56.14799738,N/E,53.46475308,52.23156603,N/E,54.46850257,55.86315896,59.38699604,53.60534701,56.50020409,50.27736561,54.55773489,57.12019309,54.51910804,55.79298826,56.54707876,50.28453952,N/E,54.03016201,55.70560341,N/E
