fecha,tc_fix,cetes28,expectativa,petroleo
01/01/2004,10.96067419,4.9525,2.12,34.31
01/02/2004,11.01850345,5.57,2.63,34.69
01/03/2004,10.99782903,6.2775,2.76,36.74
01/04/2004,11.24264667,5.98,3.46,36.75
01/05/2004,11.50777419,6.5925,3.51,40.28
01/06/2004,11.37502,6.57,3.51,38.03
01/07/2004,11.4764,6.81,3.52,40.78
01/08/2004,11.3992,7.2125,3.58,44.9
01/09/2004,11.49256333,7.36,3.61,45.94
01/10/2004,11.39055484,7.7575,4.11,53.28
01/11/2004,11.38322667,8.2025,4.17,48.47
01/12/2004,11.20769032,8.502,4.2,43.15
01/01/2005,11.26067419,8.6025,4.11,46.84
01/02/2005,11.14702857,9.1475,4.24,48.15
01/03/2005,11.13873548,9.408,4.13,54.19
01/04/2005,11.12668667,9.625,4.11,52.98
01/05/2005,10.98908387,9.75,4.08,49.83
01/06/2005,10.83101667,9.626,4.2,56.35
01/07/2005,10.69057097,9.6125,4.09,59
01/08/2005,10.66766452,9.595,4,64.99
01/09/2005,10.78028333,9.214,3.87,65.59
01/10/2005,10.83860968,8.9075,3.77,62.26
01/11/2005,10.68757,8.705,3.67,58.32
01/12/2005,10.61519355,8.222,3.6,59.41
01/01/2006,10.56963871,7.88,3.51,65.49
01/02/2006,10.48425714,7.6075,3.38,61.63
01/03/2006,10.69771935,7.366,3.51,62.69
01/04/2006,11.02994333,7.17,3.64,69.44
01/05/2006,11.07151613,7.0175,3.71,70.84
01/06/2006,11.38702333,7.02,3.69,70.95
01/07/2006,11.03921613,7.0325,3.6,74.41
01/08/2006,10.87617097,7.032,3.63,73.04
01/09/2006,10.97558333,7.055,3.63,63.8
01/10/2006,10.91244839,7.05,3.07,58.89
01/11/2006,10.87905,7.042,3.46,59.08
01/12/2006,10.87084194,7.035,3.47,61.96
01/01/2007,10.93192258,7.035,3.55,54.51
01/02/2007,10.981975,7.04,3.62,59.28
01/03/2007,11.12236774,7.044,3.58,60.44
01/04/2007,10.99080667,7.005,3.66,63.98
01/05/2007,10.83582258,7.236,3.62,63.46
01/06/2007,10.83518667,7.195,3.67,67.49
01/07/2007,10.79959355,7.185,3.74,74.12
01/08/2007,11.04242903,7.204,3.64,72.36
01/09/2007,11.03761667,7.205,3.7,79.92
01/10/2007,10.84063226,7.2,3.75,85.8
01/11/2007,10.85821333,7.438,3.85,94.77
01/12/2007,10.85205806,7.4375,3.88,91.69
01/01/2008,10.91740645,7.416,3.64,92.97
01/02/2008,10.78461379,7.4275,3.62,95.39
01/03/2008,10.73085484,7.4325,3.59,105.45
01/04/2008,10.52556333,7.442,3.63,112.58
